"uld_id","reload_time","des_airport","reload_id","reload_area"
"Reload2_ot12_ZUH_4","15533.99714","ZUH","Re2","1"
"Reload25_ot7_iNRT_3","15538.64286","iNRT","Re25","8_2"
"Reload22_ot41_TPE_8","15542.28571","TPE","Re22","8_6"
"Reload5_ot33_WUX_9","15542.53571","WUX","Re5","9"
"Reload18_ot6_iCGN_5","15546.5","iCGN","Re18","6_1"
"Reload2_ot26_CGO_4","15555.49714","CGO","Re2","1"
"Reload7_ot24_FOC_4","15557.15857","FOC","Re7","9"
"Reload22_ot35_iHKG_2","15563.85714","iHKG","Re22","8_6"
"Reload20_ot5_JNB_3","15565","JNB","Re20","8_3"
"Reload22_ot30_iHKG_2","15568.06572","iHKG","Re22","8_6"
"Reload5_ot29_WUX_10","15569.5","WUX","Re5","9"
"Reload27_ot13_iKIX_5","15571.83","iKIX","Re27","4_4"
"Reload6_ot1_CTU_4","15572.38572","CTU","Re6","9"
"Reload16_ot4_SGN_4","15574.85","SGN","Re16","4_1"
"Reload7_ot8_CKG_4","15575.59","CKG","Re7","9"
"Reload8_ot6_DLC_4","15581.4","DLC","Re8","10"
"Reload20_ot20_iSIN_3","15586","iSIN","Re20","8_3"
"Reload6_ot6_CTU_4","15597.66143","CTU","Re6","9"
"Reload4_ot4_SWA_6","15599.23","SWA","Re4","5"
"Reload1_ot38_CAN_4","15599.92857","CAN","Re1","1"
"Reload20_ot23_iSIN_3","15601.78","iSIN","Re20","8_3"
"Reload20_ot21_iSIN_3","15602.14286","iSIN","Re20","8_3"
"Reload3_ot31_BHY_6","15602.92857","BHY","Re3","5"
"Reload14_ot6_HGH_4","15611.14286","HGH","Re14","3"
"Reload22_ot36_iHKG_2","15614.46","iHKG","Re22","8_6"
"Reload13_ot13_PVG_5","15614.5","PVG","Re13","3"
"Reload1_ot34_CAN_4","15618.42","CAN","Re1","1"
"Reload8_ot38_LZH_8","15622.9","LZH","Re8","10"
"Reload22_ot32_iHKG_2","15625.5","iHKG","Re22","8_6"
"Reload14_ot5_HGH_4","15626.07143","HGH","Re14","3"
"Reload14_ot17_HGH_2","15626.14286","HGH","Re14","3"
"Reload1_ot2_CAN_4","15627.57143","CAN","Re1","1"
"Reload6_ot5_CTU_4","15632.8","CTU","Re6","9"
"Reload5_ot28_WUX_10","15634.13571","WUX","Re5","9"
"Reload14_ot30_HGH_4","15639.42857","HGH","Re14","3"
"Reload8_ot31_SHE_0","15641.1","SHE","Re8","10"
"Reload1_ot4_CAN_4","15645.20572","CAN","Re1","1"
"Reload10_ot21_TNA_0","15648.73286","TNA","Re10","10"
"Reload22_ot33_iHKG_2","15649.25286","iHKG","Re22","8_6"
"Reload18_ot29_KUL_2","15649.44286","KUL","Re18","6_1"
"Reload14_ot31_HGH_4","15650","HGH","Re14","3"
"Reload6_ot7_CTU_4","15653.23286","CTU","Re6","9"
"Reload9_ot22_YCU_10","15654.37","YCU","Re9","10"
"Reload11_ot1_WEF_9","15656.52857","WEF","Re11","7"
"Reload24_ot20_iICN_3","15660.14286","iICN","Re24","8_4"
"Reload27_ot9_OSA_3","15664.06","OSA","Re27","4_4"
"Reload11_ot9_WEH_10","15665.05714","WEH","Re11","7"
"Reload27_ot8_OSA_3","15665.7","OSA","Re27","4_4"
"Reload6_ot4_CTU_4","15673.38572","CTU","Re6","9"
"Reload13_ot26_PVG_5","15678.6","PVG","Re13","3"
"Reload6_ot10_CTU_4","15680.16143","CTU","Re6","9"
"Reload27_ot6_OSA_3","15681.44286","OSA","Re27","4_4"
"Reload20_ot11_JNB_3","15682","JNB","Re20","8_3"
"Reload5_ot32_WUX_9","15682.74286","WUX","Re5","9"
"Reload5_ot30_WUX_10","15683.37571","WUX","Re5","9"
"Reload6_ot12_CTU_0","15684.74286","CTU","Re6","9"
"Reload8_ot23_SHE_4","15689.47143","SHE","Re8","10"
"Reload12_ot20_LYG_8","15693.15857","LYG","Re12","7"
"Reload2_ot9_ZUH_3","15695.12429","ZUH","Re2","1"
"Reload20_ot10_JNB_3","15695.5","JNB","Re20","8_3"
"Reload3_ot5_INC_9","15695.57143","INC","Re3","5"
"Reload20_ot1_JNB_3","15705.48572","JNB","Re20","8_3"
"Reload7_ot22_FOC_4","15710.59","FOC","Re7","9"
"Reload3_ot1_LXA_11","15711.88571","LXA","Re3","5"
"Reload13_ot9_PVG_5","15712.42857","PVG","Re13","3"
"Reload22_ot42_TPE_8","15712.82857","TPE","Re22","8_6"
"Reload25_ot27_iANC_6","15715.82","iANC","Re25","8_2"
"Reload16_ot8_RIO_2","15723.85","RIO","Re16","4_1"
"Reload20_ot26_iSIN_3","15724","iSIN","Re20","8_3"
"Reload18_ot27_KUL_2","15725.07143","KUL","Re18","6_1"
"Reload20_ot8_JNB_3","15725.78571","JNB","Re20","8_3"
"Reload23_ot34_SYD_3","15730.57571","SYD","Re23","8_7"
"Reload7_ot4_CKG_4","15733.11429","CKG","Re7","9"
"Reload13_ot27_PVG_5","15740.57143","PVG","Re13","3"
"Reload7_ot2_CKG_4","15742.94714","CKG","Re7","9"
"Reload13_ot25_PVG_5","15744.26857","PVG","Re13","3"
"Reload27_ot3_OSA_3","15746.14286","OSA","Re27","4_4"
"Reload12_ot34_BAV_8","15748.1","BAV","Re12","7"
"Reload12_ot21_LYG_4","15750.23","LYG","Re12","7"
"Reload13_ot29_PVG_5","15755.64286","PVG","Re13","3"
"Reload10_ot1_WNZ_9","15756.23286","WNZ","Re10","10"
"Reload11_ot29_NNY_5","15761.44429","NNY","Re11","7"
"Reload13_ot22_PVG_5","15764.14286","PVG","Re13","3"
"Reload8_ot22_SHE_4","15769.15714","SHE","Re8","10"
"Reload18_ot31_KUL_2","15770.5","KUL","Re18","6_1"
"Reload20_ot17_iSIN_3","15770.99429","iSIN","Re20","8_3"
"Reload6_ot39_XMN_2","15780.18571","XMN","Re6","9"
"Reload2_ot7_ZUH_3","15786.92857","ZUH","Re2","1"
